measurement_key,float_key,measurement_time,lat,lon,pressure,temperature,salinity
167,1,2006-10-22 02:16:24.000628,-40.316,73.389,240.4,12.07,35.085
168,1,2006-10-22 02:16:24.000628,-40.316,73.389,250.3,12.004,35.073
169,1,2006-10-22 02:16:24.000628,-40.316,73.389,259.8,12.034,35.081
170,1,2006-10-22 02:16:24.000628,-40.316,73.389,270.2,11.96,35.066
171,1,2006-10-22 02:16:24.000628,-40.316,73.389,279.5,11.939,35.062
172,1,2006-10-22 02:16:24.000628,-40.316,73.389,290.1,11.925,35.058
173,1,2006-10-22 02:16:24.000628,-40.316,73.389,300.3,11.895,35.053
174,1,2006-10-22 02:16:24.000628,-40.316,73.389,310.0,11.915,35.059
175,1,2006-10-22 02:16:24.000628,-40.316,73.389,319.9,11.896,35.056
176,1,2006-10-22 02:16:24.000628,-40.316,73.389,330.4,11.887,35.056
177,1,2006-10-22 02:16:24.000628,-40.316,73.389,339.8,11.894,35.057
178,1,2006-10-22 02:16:24.000628,-40.316,73.389,350.0,11.812,35.038
179,1,2006-10-22 02:16:24.000628,-40.316,73.389,360.3,11.759,35.029
180,1,2006-10-22 02:16:24.000628,-40.316,73.389,379.9,11.699,35.02
181,1,2006-10-22 02:16:24.000628,-40.316,73.389,399.8,11.555,34.997
182,1,2006-10-22 02:16:24.000628,-40.316,73.389,450.3,11.18,34.933
183,1,2006-10-22 02:16:24.000628,-40.316,73.389,500.2,10.895,34.891
184,1,2006-10-22 02:16:24.000628,-40.316,73.389,549.7,10.296,34.81
185,1,2006-10-22 02:16:24.000628,-40.316,73.389,600.0,9.699,34.739
186,1,2006-10-22 02:16:24.000628,-40.316,73.389,650.0,9.193,34.679
187,1,2006-10-22 02:16:24.000628,-40.316,73.389,700.4,8.67,34.626
188,1,2006-10-22 02:16:24.000628,-40.316,73.389,750.4,8.065,34.573
189,1,2006-10-22 02:16:24.000628,-40.316,73.389,800.3,7.596,34.534
190,1,2006-10-22 02:16:24.000628,-40.316,73.389,850.4,6.969,34.48
191,1,2006-10-22 02:16:24.000628,-40.316,73.389,899.8,5.991,34.386
192,1,2006-10-22 02:16:24.000628,-40.316,73.389,947.9,5.392,34.348
193,1,2006-10-22 02:16:24.000628,-40.316,73.389,1000.1,5.103,34.352
194,1,2006-10-22 02:16:24.000628,-40.316,73.389,1050.3,4.643,34.337
195,1,2006-10-22 02:16:24.000628,-40.316,73.389,1100.0,4.338,34.341
196,1,2006-10-22 02:16:24.000628,-40.316,73.389,1150.0,4.118,34.34
197,1,2006-10-22 02:16:24.000628,-40.316,73.389,1199.9,3.926,34.357
198,1,2006-10-22 02:16:24.000628,-40.316,73.389,1250.1,3.763,34.375
199,1,2006-10-22 02:16:24.000628,-40.316,73.389,1298.1,3.562,34.399
200,1,2006-10-22 02:16:24.000628,-40.316,73.389,1350.2,3.432,34.423
201,1,2006-10-22 02:16:24.000628,-40.316,73.389,1400.2,3.325,34.443
202,1,2006-10-22 02:16:24.000628,-40.316,73.389,1449.8,3.221,34.466
203,1,2006-10-22 02:16:24.000628,-40.316,73.389,1499.8,3.13,34.492
204,1,2006-10-22 02:16:24.000628,-40.316,73.389,1550.5,3.019,34.52
205,1,2006-10-22 02:16:24.000628,-40.316,73.389,1599.7,2.931,34.544
206,1,2006-10-22 02:16:24.000628,-40.316,73.389,1649.9,2.875,34.562
207,1,2006-10-22 02:16:24.000628,-40.316,73.389,1699.6,2.817,34.582
208,1,2006-10-22 02:16:24.000628,-40.316,73.389,1749.5,2.767,34.6
209,1,2006-10-22 02:16:24.000628,-40.316,73.389,1799.6,2.73,34.615
210,1,2006-10-22 02:16:24.000628,-40.316,73.389,1850.3,2.691,34.633
211,1,2006-10-22 02:16:24.000628,-40.316,73.389,1899.8,2.658,34.647
212,1,2006-10-22 02:16:24.000628,-40.316,73.389,1950.2,2.612,34.666
213,1,2006-10-22 02:16:24.000628,-40.316,73.389,2000.0,2.568,34.681
214,1,2006-10-22 02:16:24.000628,-40.316,73.389,6.0,12.518,35.131
215,1,2006-10-22 02:16:24.000628,-40.316,73.389,10.0,12.519,35.131
216,1,2006-10-22 02:16:24.000628,-40.316,73.389,19.6,12.518,35.131
217,1,2006-10-22 02:16:24.000628,-40.316,73.389,29.8,12.519,35.131
218,1,2006-10-22 02:16:24.000628,-40.316,73.389,39.9,12.523,35.132
219,1,2006-10-22 02:16:24.000628,-40.316,73.389,50.2,12.525,35.132
220,1,2006-10-22 02:16:24.000628,-40.316,73.389,60.2,12.445,35.127
221,1,2006-10-22 02:16:24.000628,-40.316,73.389,69.9,12.41,35.128
222,1,2006-10-22 02:16:24.000628,-40.316,73.389,79.3,12.374,35.127
223,1,2006-10-22 02:16:24.000628,-40.316,73.389,90.1,12.326,35.123
224,1,2006-10-22 02:16:24.000628,-40.316,73.389,99.9,12.292,35.123
225,1,2006-10-22 02:16:24.000628,-40.316,73.389,110.2,12.234,35.118
226,1,2006-10-22 02:16:24.000628,-40.316,73.389,120.3,12.224,34.904
227,1,2006-10-22 02:16:24.000628,-40.316,73.389,130.2,12.219,35.115
228,1,2006-10-22 02:16:24.000628,-40.316,73.389,140.2,12.219,35.116
229,1,2006-10-22 02:16:24.000628,-40.316,73.389,150.0,12.211,35.113
230,1,2006-10-22 02:16:24.000628,-40.316,73.389,160.1,12.206,35.113
231,1,2006-10-22 02:16:24.000628,-40.316,73.389,169.9,12.206,35.113
232,1,2006-10-22 02:16:24.000628,-40.316,73.389,179.7,12.203,35.111
233,1,2006-10-22 02:16:24.000628,-40.316,73.389,190.5,12.2,35.111
234,1,2006-10-22 02:16:24.000628,-40.316,73.389,199.9,12.183,35.107
235,1,2006-10-22 02:16:24.000628,-40.316,73.389,210.1,12.173,35.104
236,1,2006-10-22 02:16:24.000628,-40.316,73.389,220.4,12.125,35.096
237,1,2006-10-22 02:16:24.000628,-40.316,73.389,230.1,12.097,35.09
238,1,2006-10-22 02:16:24.000628,-40.316,73.389,240.4,12.07,35.085
239,1,2006-10-22 02:16:24.000628,-40.316,73.389,250.3,12.004,35.073
240,1,2006-10-22 02:16:24.000628,-40.316,73.389,259.8,12.034,35.081
241,1,2006-10-22 02:16:24.000628,-40.316,73.389,270.2,11.96,35.066
242,1,2006-10-22 02:16:24.000628,-40.316,73.389,279.5,11.939,35.062
243,1,2006-10-22 02:16:24.000628,-40.316,73.389,290.1,11.925,35.058
244,1,2006-10-22 02:16:24.000628,-40.316,73.389,300.3,11.895,35.053
245,1,2006-10-22 02:16:24.000628,-40.316,73.389,310.0,11.915,35.059
